Finacial Rate,Amount in PLN,Company
Przychody ze sprzedaży,2039533000.0,Alior Bank
Zysk/strata ze sprzedaży,846715000.0,Alior Bank
Pozostałe przychody operacyjne,24497000.0,Alior Bank
Zysk/strata z działalności operacyjnej,713733000.0,Alior Bank
Zysk/strata brutto,642227000.0,Alior Bank
zysk/strata netto udziałowców jednostki dominującej,476314000.0,Alior Bank
Amortyzacja (noty),61705000.0,Alior Bank
AKTYWA,96589402000.0,Alior Bank
Kapitał własny udziałowców podmiotu dominującego,11843329000.0,Alior Bank
Kapitał podstawowy,1305540000.0,Alior Bank
Przepływy operacyjne,3115863000.0,Alior Bank
Przepływy inwestycyjne,139798000.0,Alior Bank
Nabycie rzeczowych aktywów trwałych oraz wartości niematerialnych,-44588000.0,Alior Bank
Przepływy finansowe,-21472000.0,Alior Bank
Przepływy pieniężne netto,3234189000.0,Alior Bank
EBITDA,775438000.0,Alior Bank
Stopa zwrotu z kapitału własnego (ROE),0.22,Alior Bank
Stopa zwrotu z aktywów (ROA),0.03,Alior Bank
Przychody ze sprzedaży,2622400000.0,Allegro
Zysk/strata ze sprzedaży,607100000.0,Allegro
Zysk/strata z działalności operacyjnej,481500000.0,Allegro
Przychody finansowe,39600000.0,Allegro
Zysk/strata brutto,393100000.0,Allegro
zysk/strata netto udziałowców jednostki dominującej,296500000.0,Allegro
Amortyzacja (noty),229000000.0,Allegro
AKTYWA,19630200000.0,Allegro
Aktywa trwałe,14229500000.0,Allegro
Aktywa obrotowe,5400700000.0,Allegro
Kapitał własny udziałowców podmiotu dominującego,10407100000.0,Allegro
Kapitał podstawowy,10600000.0,Allegro
Zobowiązania długoterminowe,6831900000.0,Allegro
Zobowiązania krótkoterminowe,2391200000.0,Allegro
Przepływy operacyjne,165600000.0,Allegro
Przepływy inwestycyjne,-278400000.0,Allegro
Nabycie rzeczowych aktywów trwałych oraz wartości niematerialnych,-205300000.0,Allegro
Przepływy finansowe,-146700000.0,Allegro
Przepływy pieniężne netto,-259500000.0,Allegro
EBITDA,710500000.0,Allegro
Stopa zwrotu z kapitału własnego (ROE),0.11,Allegro
Stopa zwrotu z aktywów (ROA),0.06,Allegro
Wskaźnik płynności bieżącej,2.26,Allegro
Wskaźnik płynności szybkiej,2.18,Allegro
Wskaźnik obsługi zadłużenia,5.9,Allegro
Przychody ze sprzedaży,1642059000.0,Budimex
Zysk/strata ze sprzedaży,92721000.0,Budimex
Pozostałe przychody operacyjne,38847000.0,Budimex
Zysk/strata z działalności operacyjnej,110852000.0,Budimex
Przychody finansowe,38683000.0,Budimex
Zysk/strata brutto,131206000.0,Budimex
zysk/strata netto udziałowców jednostki dominującej,114323000.0,Budimex
Amortyzacja (noty),40922000.0,Budimex
AKTYWA,7702503000.0,Budimex
Aktywa trwałe,2164001000.0,Budimex
Aktywa obrotowe,5538502000.0,Budimex
Kapitał własny udziałowców podmiotu dominującego,1345359000.0,Budimex
Kapitał podstawowy,145848000.0,Budimex
Zobowiązania długoterminowe,1026149000.0,Budimex
Zobowiązania krótkoterminowe,5280004000.0,Budimex
Przepływy operacyjne,-215737000.0,Budimex
Przepływy inwestycyjne,-35540000.0,Budimex
Nabycie rzeczowych aktywów trwałych oraz wartości niematerialnych,-36640000.0,Budimex
Przepływy finansowe,-16073000.0,Budimex
Przepływy pieniężne netto,-267350000.0,Budimex
EBITDA,151774000.0,Budimex
Stopa zwrotu z kapitału własnego (ROE),0.48,Budimex
Stopa zwrotu z aktywów (ROA),0.08,Budimex
Wskaźnik płynności bieżącej,1.05,Budimex
Wskaźnik płynności szybkiej,0.92,Budimex
Wskaźnik obsługi zadłużenia,16.58,Budimex
Przychody ze sprzedaży,10302800000.0,CCC
Zysk/strata ze sprzedaży,998400000.0,CCC
Pozostałe przychody operacyjne,70500000.0,CCC
Zysk/strata z działalności operacyjnej,1035600000.0,CCC
Przychody finansowe,12800000.0,CCC
Zysk/strata brutto,918700000.0,CCC
zysk/strata netto udziałowców jednostki dominującej,956900000.0,CCC
Amortyzacja (noty),599100000.0,CCC
AKTYWA,9051900000.0,CCC
Aktywa trwałe,4345700000.0,CCC
Aktywa obrotowe,4706200000.0,CCC
Kapitał własny udziałowców podmiotu dominującego,1800000000.0,CCC
Kapitał podstawowy,6900000.0,CCC
Zobowiązania długoterminowe,3057900000.0,CCC
Zobowiązania krótkoterminowe,4058100000.0,CCC
Przepływy operacyjne,1311900000.0,CCC
Przepływy inwestycyjne,-400500000.0,CCC
Nabycie rzeczowych aktywów trwałych oraz wartości niematerialnych,-476900000.0,CCC
Przepływy finansowe,-716700000.0,CCC
Przepływy pieniężne netto,194700000.0,CCC
EBITDA,1634700000.0,CCC
Stopa zwrotu z kapitału własnego (ROE),0.71,CCC
Stopa zwrotu z aktywów (ROA),0.12,CCC
Wskaźnik płynności bieżącej,1.16,CCC
Wskaźnik płynności szybkiej,0.28,CCC
Wskaźnik obsługi zadłużenia,3.43,CCC
Przychody ze sprzedaży,226305000.0,CD Projekt
Zysk/strata ze sprzedaży,95144000.0,CD Projekt
Pozostałe przychody operacyjne,1935000.0,CD Projekt
Zysk/strata z działalności operacyjnej,95594000.0,CD Projekt
Przychody finansowe,39953000.0,CD Projekt
Zysk/strata brutto,113311000.0,CD Projekt
zysk/strata netto udziałowców jednostki dominującej,86003000.0,CD Projekt
Amortyzacja (noty),16743000.0,CD Projekt
AKTYWA,3119131000.0,CD Projekt
Aktywa trwałe,1729873000.0,CD Projekt
Aktywa obrotowe,1389258000.0,CD Projekt
Kapitał własny udziałowców podmiotu dominującego,2892578000.0,CD Projekt
Kapitał podstawowy,99911000.0,CD Projekt
Zobowiązania długoterminowe,22348000.0,CD Projekt
Zobowiązania krótkoterminowe,204205000.0,CD Projekt
Przepływy operacyjne,151112000.0,CD Projekt
Przepływy inwestycyjne,-57766000.0,CD Projekt
Nabycie rzeczowych aktywów trwałych oraz wartości niematerialnych,-36314000.0,CD Projekt
Przepływy finansowe,-950000.0,CD Projekt
Przepływy pieniężne netto,92396000.0,CD Projekt
EBITDA,112337000.0,CD Projekt
Stopa zwrotu z kapitału własnego (ROE),0.17,CD Projekt
Stopa zwrotu z aktywów (ROA),0.16,CD Projekt
Wskaźnik płynności bieżącej,6.8,CD Projekt
Wskaźnik płynności szybkiej,6.8,CD Projekt
Wskaźnik obsługi zadłużenia,29.93,CD Projekt
Przychody ze sprzedaży,7354297000.0,Dino
Zysk/strata ze sprzedaży,411336000.0,Dino
Pozostałe przychody operacyjne,8327000.0,Dino
Zysk/strata z działalności operacyjnej,414099000.0,Dino
Przychody finansowe,2862000.0,Dino
Zysk/strata brutto,385554000.0,Dino
zysk/strata netto udziałowców jednostki dominującej,311245000.0,Dino
Amortyzacja (noty),118161000.0,Dino
AKTYWA,12803670000.0,Dino
Aktywa trwałe,8943141000.0,Dino
Aktywa obrotowe,3860529000.0,Dino
Kapitał własny udziałowców podmiotu dominującego,7402054000.0,Dino
Kapitał podstawowy,9804000.0,Dino
Zobowiązania długoterminowe,613953000.0,Dino
Zobowiązania krótkoterminowe,4770246000.0,Dino
Przepływy operacyjne,6725000.0,Dino
Przepływy inwestycyjne,-513017000.0,Dino
Nabycie rzeczowych aktywów trwałych oraz wartości niematerialnych,-515635000.0,Dino
Przepływy finansowe,-7506000.0,Dino
Przepływy pieniężne netto,-513798000.0,Dino
EBITDA,532260000.0,Dino
Stopa zwrotu z kapitału własnego (ROE),0.23,Dino
Stopa zwrotu z aktywów (ROA),0.13,Dino
Wskaźnik płynności bieżącej,0.81,Dino
Wskaźnik płynności szybkiej,0.15,Dino
