Finacial Rate,Amount in PLN,Company
Przychody ze sprzedaży,5666000000.0,Żabka
Zysk/strata ze sprzedaży,626000000.0,Żabka
Pozostałe przychody operacyjne,5000000.0,Żabka
Zysk/strata z działalności operacyjnej,106000000.0,Żabka
Przychody finansowe,24000000.0,Żabka
Zysk/strata brutto,-121000000.0,Żabka
zysk/strata netto udziałowców jednostki dominującej,-125000000.0,Żabka
Amortyzacja (noty),439000000.0,Żabka
AKTYWA,17321000000.0,Żabka
Aktywa trwałe,13349000000.0,Żabka
Aktywa obrotowe,3972000000.0,Żabka
Kapitał własny udziałowców podmiotu dominującego,1321000000.0,Żabka
Kapitał podstawowy,120000000.0,Żabka
Zobowiązania długoterminowe,8683000000.0,Żabka
Zobowiązania krótkoterminowe,7317000000.0,Żabka
Przepływy operacyjne,572000000.0,Żabka
Przepływy inwestycyjne,-506000000.0,Żabka
Nabycie rzeczowych aktywów trwałych oraz wartości niematerialnych,-517000000.0,Żabka
Przepływy finansowe,-264000000.0,Żabka
Przepływy pieniężne netto,-198000000.0,Żabka
EBITDA,545000000.0,Żabka
Wskaźnik płynności bieżącej,540.0,Żabka
Wskaźnik płynności szybkiej,410.0,Żabka
Wskaźnik obsługi zadłużenia,3300.0,Żabka
